,Text,Response
72,"В общем Заз сенс стал моей первой иномаркой после нашей вазовской семёрки. Первые впечатления были отличными:красивый кузов, удобный просторненький салон, большой и вместительный багажник, под капотом вообще просторно, удобно ковыряться, красивая и удобная панель приборов, понравился так же большой радиус поворота. К сожалению после 10тыс. км пробега полетела водяная помпа, не беда поменял, но к моему огорчению она продержалась недолго чз пару месяцев поменял опять. Может не повезло с запчастью. также после около 10 тыс. км. менял термостат. Гранаты поменял после 45 тыс. км и далее каждый год, то внутренняя, то наружная. Да и еще со временем тосол начал пропадать, долго искали причину, думали трещина в головке блока поменяли ничего не изменилось, выяснилось одна гильза была бракованная. Пока вроде нормально, да и глушитель приходиться менять каждые 2 года, быстро изнашиваются. То что двигатель работает не равномерно и ничего с этим не поделаешь наверное и так все написали. ","
первые впечатления: отличные: положительно
салон: удобный, просторненький: положительно
багажник: большой, вместительный: положительно
под капотом: просторно: положительно
панель приборов: красивая, удобная: положительно
радиус поворота: большой: положительно
водяная помпа: поменял: негативно
термостат: менял: негативно
гранаты: поменял: положительно
тосол: начал пропадать: негативно
глушитель: приходиться менять, быстро изнашиваются: негативно
двигатель: работает не равномерно: негативно"
73,"Здравствуйте. У меня был опыт езды на этом автомобиле. Что можно сказать, салон для молодежи, очень тесный и неудобный. Для нормального мужика это не машина. Багажник тоже не отличается просторностью. При езде постоянно сверчки по всему салону особенно на поворотах. Когда садишься за руль, он упирается в коленки и сидишь как на деревянном стуле. Я никогда не ездил на этой модели далеко, потому что элементарно устает спина. Качество запчастей и сборки отвратительное. Даже не знаю есть ли у этой машины какие-либо плюсы. Наверное только цена. Если у человека есть семья, то этот вариант точно не подойдет, да и одному будет не сахар. Поэтому, ничего хорошего про эту модель сказать не могу. Дизайн безнадежно устарел.","
салон: тесный и неудобный: негативно 
проходимость: плохая: негативно 
качество сборки: ужасное: негативно"
74,"Езжу 10 лет, ни одной поломки. Большой очень вместительный салон, хорошая грузоподъёмность, нормальный расход топлива. Мне очень нравится марка ВАЗ(LADA) тем, что она доступна как и в цене так и в обслуживании. С ней вы сможете всё. В добрый путь. ","салон: большой, очень вместительный: положительно
грузоподъемность: хорошая: положительно
расход топлива: нормальный: нейтрально
марка ВАЗ(LADA): доступна в цене: положительно 
марка ВАЗ(LADA): доступна в обслуживании: положительно"
76,"Большой, солидный, мощный. Немецкое качество продолжает удивлять. Этот автомобиль хорошо на бездорожье, особенно на грязи. Мощный дизельный двигатель, но расход большой. Большой комфортабельный салон, очень много электроники, вообще это плохо для внедорожника который создают для плохих дорог (бездорожье). Хорошая подвеска. Внешний вид: кому то нравится, а у кого-то он вызывает отвращение. Лично мне нравиться стоп-сигналы. Колесные арки. Качественный автомобиль, может потому что это немцы? На этот вопрос ответа нет, так как, можно сделать топор и молоток, а можно лопату и грабли, разные вещи, но обе нужны. Всем спасибо. Хороший автомобиль! ","
машина: надежная, неприхотливая: положительно 
дизельный двигатель: мощный: положительно 
расход: большой: негативно 
салон: комфортабельный: положительно 
электроника: много: негативно 
подвеска: хорошая: положительно 
внешний вид: нравится: положительно 
колесные арки: качественные: положительно"
78,"Очень ходовая машина, проедет везде, как на дачу так и по городу, не дорогие запчасти найдутся практически везде, хороший кузов мало гниет, в моем случае очень выносливый мотор, загрузить машину можно полностью едет как танк, загружал в нее 5 бревен, удобный просторный салон, дизайн автомобиля идеальный. Просто отличный автомобиль, для повседневной езды, хоть и старый, неплохая вместительность багажника, можно убрать задние сидения и возить что нибудь, громадское ","
машина: ходовая: положительно 
запчасти: не дорогие: положительно 
кузов: хороший: положительно 
мотор: выносливый: положительно 
салон: удобный просторный: положительно 
дизайн: идеальный: положительно 
багажник: вместительный: положительно"
80,"Когда я приобрел автомобиль ВАЗ-21150 в народе называют ""пятнашка"" я много услышал негативных эмоций со стороны моих друзей, ну со временем я понял как они ошибаются (с трамвая то видней), меня эта машина никогда не подводила, зимой заводилась без нареканий, к тому же была очень теплая машина, и очень экономичная.","
ВАЗ-21150: надежный, теплый, экономичный: положительно"
81,"Автомомобиль не соответствует цене и качеству, для данного объёма двигателя . Расход топлива очень большой, машина явно не для российских дорог. Цена не соответствует качеству. очень маленький салон","
цена: не соответствует качеству: негативно
расход топлива: большой: негативно
салон: маленький: негативно"
82,"Cupe Lada Priora Coupe впервые появилось в 2010 году и с каждым годом набирало популярность среди поклонников продукции АвтоВАЗа. Очень привлекательная цена на данный автомобиль. Построено купе Lada Priora на базе, от которого спортивному автомобилю досталось не только шасси, но и большая часть кузовных панелей. Вид у машины красивый, спортивный! Шасси у него спортивная, панель тоже. Купил я данное авто в 2010 году новую в автосолоне. К 2013 году авто начал подводить ломаться. Еще появился со временем стук задней дверки багажника. Расход у автомобиля хороший, 8 литров на 100 километров. Авто подходит для кратковременных поездок по городу, сиденья в автомобиле очень неудобные, просидеть в нем больше 3-х часов просто невозможно. ","
Автомобиль: дешевый: положительно 
Автомобиль: спортивный: положительно 
Автомобиль: хороший расход: положительно 
Автомобиль: неудобные сиденья: негативно"
83,"Отличная управляемость, крен на поворотах в пределах. Ни каких намёков на опрокидывание. Руль легкий, тормоза отличные. Отличная шумоизоляция, раздельный климат-контроль. Задние стекло и дверь открываются с кнопки в салоне. Расход топлива при объеме 4.7 18 литров на 100 км, подвеска очень мягкая. В базовой комплектации не требует ни каких доработок, присутствует все необходимое. Освещения хватает без дополнительных фар. Удобная ручка переключения передач которая находится на руле. Также радует подогрев, обдув передних сидений. Хороший радиус разворота. Отличная мультимедийная система с беспроводной гарнитурой. Высокая посадка за рулём, отличный обзор.","управляемость: отличная: положительно 
крен: на поворотах в пределах: положительно 
руль: легкий: положительно 
тормоза: отличные: положительно 
шумоизоляция: отличная: положительно 
климат-контроль: раздельный: положительно 
подвеска: очень мягкая: положительно 
мультимедийная система: отличная: положительно 
посадка за рулём: высокая: положительно 
обзор: отличный: положительно"
85,"Идеальное сочетание цены и качества. После отечественной ""девятки"" пересесть на Лансер было особенно приятно. Езжу уже 2 года (всего машине 6 лет). За это время менял только расходники, аккумулятор и заднюю опору двигателя (тьфу-тьфу). Пройдемся по приятным моментам:удобный просторный салон и вполне вместительный багажник, полный электропакет, заводится в любой мороз, хорошая динамика хода, достаточно экономно расходует бензин (около 9 литров на 100 км получается, при условии, что я агрессивно вожу). Конечно, есть и маленькие минусы, вроде не открывающихся с брелка в мороз задних дверей. Но это сущие пустяки. В целом машина - зверь! На данный момент пробег 90000 км - полет нормальный. ","
салон: удобный, просторный: положительно 
багажник: вполне вместительный: положительно 
электропакет: полный: положительно 
ход: достаточно экономный: положительно 
бензин: расходует достаточно экономно: положительно 
задние двери: не открываются с брелка: негативно"
86,"ВАЗ-2109 одна из самых успешных и продаваемых моделей русского производства. Автомобиль разбирается как ""горячие пирожки"" и по сей день. Стоит отметить, что именно у молодежи ""Девятка"" пользуется особым спросом. И это не случайно. Экономный расход топлива. По трассе расход бензина около 6 - 7,5 л на сто километров, а в городе около 10 - 11 км (В зависимости от стиля вождения). Ремонт обычно не дорогой и быстрый. А нужные Вам комплектующие можно найти практически в любом магазине авто-запчастей. Но в любой бочке меда всегда есть ложка дегтя. В данном случае это вечно дребезжащая задняя планка, закрывающая багажник. Покупать ли эту машину или остановить свое внимание на другой модели-Ваше дело. Но тем не менее, лично я Вам ее советую.","
Автомобиль: разбирается как ""горячие пирожки"": положительно 
Молодежи: пользуется особым спросом: положительно 
Расход топлива: Экономный: положительно 
Ремонт: не дорогой и быстрый: положительно 
задняя планка: вечно дребезжит: негативно"
88,"Хороший немец, это легендарный автомобиль. под капотом v8 c двумя надувами, 500л. с. хорошие показатели для гонок, но и проходимость у него очень хорошая с понижающей передачей и блокировки 3-х дифференциалов. Салон не очень. задние сиденья не регулируются совсем. передние сиденья регулируются. ","показатели: хорошие: положительно 
проходимость: хорошая: положительно 
салон: не очень: негативно 
задние сиденья: не регулируются: негативно 
передние сиденья: регулируются: положительно"
89,"Был владельцем опеля вектра А, 91 г. в., 2 литровый двигатель. Машинка была у меня 3,5 года. Машинка понравилась очень, даже для ее, тогда, 16 лет. Практически не ломалась, но думаю здесь все зависит от манеры вождения и как человек ухаживает за машиной. За все время пользования серьезных проблем с двигателем не было. Салон удобный, комфортный. Все рычаги и кнопки расположены под рукой. Места в салоне очень много. Понравились цены на запчасти, все достаточно дешево. Запчасти подходят от других автомобилей. Минус - кузов. Гниют задние арки, приходилось переваривать. По поводу следующих моделей подробно рассказать не могу, но у друга была модель вектра С - тоже был очень доволен. ","
двигатель: проблем не было: положительно 
салон: удобный, комфортный: положительно 
цены на запчасти: доступные: положительно 
запчасти: подходят от других автомобилей: положительно 
кузов: гниют задние арки: негативно"
90,"Неплохой салон, вместимость его пять человек. Большой багажник, удобен для переездов и перевозки калясок и складных велосипедов, т. д. Удобное управление, но повороты проходит с трудом ( руль риагирует жестко). Периодами в салоне что то трещит. Летом, осенью и весной заводится без проблем, но зимой после ""-25 "" уже проблемно! А при ""-30"" вообще и не заводится. У этой ""ласточки"" МКП-(Механическая Коробка Передач), она не подаёт не каких помех и переключается плавно, это радует, но есть ещё одно НО! Очень много кушает, целых 12 литров. На своём опыте проверил, что машина подходит только для города, для сельской местности это не вариант! Но главный плюс в том, что цена очень выгодная! ","
салон: неплохой: положительно 
багажник: большой: положительно 
управление: удобное: положительно 
повороты: с трудом: негативно 
салон: периодами что то трещит: негативно 
заводится: летом, осенью и весной: положительно 
заводится: зимой после ""-25"": негативно 
заводится: при ""-30"": негативно 
МКП: не подаёт не каких помех: положительно 
кушает: много: негативно 
цена: выгодная: положительно"
91,"Эта машина предназначена для фанатов этой серии машин! Её возможности безграничны. Купив базовую комплектацию можно воссоздать шедевры конструкторской мысли, начиная с колёс и заканчивая простым болтиком под капотом. Я купил эту машину в 2007 году и езжу до сих пор. За первых три года не было ни одной поломки, потом стали проявляться мелкие неисправности: подшипник на полуоси, лампочки дальнего ближнего света, крестовины, аккумулятор, свечи. Зато стоковая резина до сих пор жива, её хватит ещё года на три точно или на 60000 тысяч км. пробега. А вот по кузову не всё так гладко, к этому времени сгнила почти до дыр. Придется в этом году либо красить, либо продавать. ","
машина: надежная, неприхотливая: положительно 
дефекты: мелкие неисправности: негативно 
резина: стоковая: положительно 
кузов: сгнила почти до дыр: негативно"
92,"В этом автомобиле совмещены качества:доступность и качество. У данного автомобиля имеется самый большой багажник в своем классе:510л. Да и салон у него очень вместительный и просторный. Однако внешний вид у данного автомобиля смотрится не очень хорошо особенно если покупать этот автомобиль в комплектации в которую не входят противотуманные фары, потому что без них так называемые ""слепые дырки"" в бампере данного автомобиля смотрятся ужасно. плюс ко всему родные щетки (резинки на дворниках) не очень качественные, пришлось менять после шестого месяца пользования автомобилем. Но за такую цену этот автомобиль очень даже не плохой я бы даже сказал отличный - стоит своих денег. Вообщем выбор остается за вами. ","
багажник: самый большой в своем классе: положительно 
салон: вместительный, просторный: положительно 
внешний вид: смотрится не очень хорошо: негативно 
щетки: не очень качественные: негативно
автомобиль: отличный, стоит своих денег: положительно "
97,"Практичная машина, очень маленькая, но для города, мегаполиса в самый раз, бензина расходует немного, едет хорошо, в технических характеристиках хороша, запчасти не дорого стоят, они и не расходуются часто. ","машина: практичная: положительно 
машина: маленькая: нейтрально 
машина: бензина расходует немного, едет хорошо, в технических характеристиках хороша: положительно 
запчасти: не дорого стоят, не расходуются часто: положительно"
98,"Машина радует хорошим комфортом за небольшую цену. У меня был седан, с 2-х литровым бензиновым мотором. 125 лошадей дает ему хорошую динамику, максималку выдавал 195 км/ч, я быстрее не ездил, хотя под педалью было куда надавить. Просторный и комфортный салон, мягкая подвеска, с одной стороны хорошо, но с другой на нащих дорогах машина идет в раскачку, так что ехать очень быстро желания не возникает. Но вобщем машина за свои деньги очень хороша. ","
машина: комфортная: положительно 
машина: просторная: положительно 
подвеска: мягкая: положительно 
машина: в раскачку: негативно"
99,Очень хорошая машина. Как всегда фирма VW не подкачала. Чувствуется комфорт. Великолепный дизайн. Надежная подвеска! Быстро набирает скорость и хорошо тормозит. ,"
машина: надежная, комфортная, быстрая, хорошо тормозящая: положительно 
дизайн: великолепный: положительно 
подвеска: надежная: положительно"
101,"купил я жене этот авто, дизайн мне его понравился, небольшой автомобиль, комфортный, красивый и удобный. понравился не слишком низкий клиренс. авто было максимальной комплектации и с коробкой автомат. Жена была в восторге, да и я по началу. Настала зима и с ней пришли проблемы с авто. при -25 мотор не запускался, приходилось буксировать его в тёплый гараж. в салоне холодно, вечно замёрзшие стёкла. при езде замерзали ноги, приходилось одевать валенки если собирался ехать на большое расстояние. коробка просто ужас, сыпалась на ходу. после каждых 5000 км. ремонт и при том не дешёвый. вечное дёрганье, пробуксовка, долгое переключение. ","
дизайн: понравился: положительно 
автомобиль: небольшой: нейтрально
автомобиль: комфортный, красивый и удобный: положительно 
клиренс: не слишком низкий: положительно 
мотор: не запускался: негативно 
салон: холодно: негативно 
стёкла: вечно замёрзшие: негативно 
коробка: просто ужас: негативно"
103,"Ничего лишнего нет. предназначен для поездок на дачу или в деревню для людей чей возраст давно перевалил за 50. Малая мощность, довольно большой расход топлива, про комфорт и говорить нечего. В общем машина для тех, кому не важно на чём ездить.","мощность: малая: нейтрально
расход топлива: довольно большой: негативно
комфорт: и говорить нечего: нейтрально
машина: для тех кому не важно на чём ездить: нейтрально"
107,"Эту машинку я узнала от своего парня, дело в том что он просто помешал на этой марке машины, он не признает иномарки, только вот 2109 и 21099. Я не знаю чем его зацепила. Я согласна с тем что машина красивая, ну как бы даже обычная, для реального пацана, может что то там внутри сверхественное. Машинка послушная когда было холодно она грела моего мальчика. Он ночевал в этой машине сутками, разговаривал с ней, даже давал имя. Относился к ней как к человеку, но красавицу пришлось продать из за того что нужны были деньги. Больше мы хорошой машины не видали, такая красотка была у нас один раз! Очень жалеем что продали, вскоре хотим купить новую под заказ!:(","
машина: красивая: положительно 
машина: послушная: положительно"
108,Купил в в июле 2013г. пробег 47т. км. на сегодня 94т. км за время эксплуатации ни каких нареканий не вызвал. Единственное. шумка слабовата. Авто в полной комплектации. Катаюсь и зимой и летом. Были поменяны вентилятор обдува и гл. цилиндр сцепления. З/ч не дорогие. ,"
шумка: слабовата: негативно
з/ч: не дорогие: положительно"
113,"Купили машину с рук в 2013 удивительно не дорого, поездив месяц, поняли почему(бывшие хозяева просто мечтали от нее избавиться). Через неделю вышел из строя генератор, скорости включаются очень туго, печка зимой практически не греет, плавающие обороты холостого хода невозможно отрегулировать не на станции ТО, не у частных мастеров. На большой скорости шум в салоне как в пикирующем истребителе. Свет фар очень слабенький, замена лампочек не помогла. Съедает бензина на много больше, чем заявлено в инструкции. После поездки на большой скорости по трассе, въезжая в город начинает глохнуть на каждом перекрестке. Все эти проблемы в автомобиле с двигателем 1.3. Вообщем в машине мы разочаровались. ","
машина: не дорого: положительно 
генератор: вышел из строя: негативно 
скорости: включаются очень туго: негативно 
печка: зимой практически не греет: негативно 
плавающие обороты холостого хода: невозможно отрегулировать: негативно 
шум: в салоне как в пикирующем истребителе: негативно 
свет: фар очень слабенький: негативно 
бензин: съедает больше, чем заявлено: негативно 
машина: глохнет на каждом перекрестке: негативно"
115,"Очень удобный вовсем! классныйдизайн как снаружи, так и внутри! Прекрасная шумоизоляция, удобный багажник. В целом собран хорошо и качественно, это отличное вложение денег в собственный комфорт. Машинка резвая, удобная в эвсплуотации. Советую. ","
дизайн: классный: положительно 
шумоизоляция: прекрасная: положительно 
багажник: удобный: положительно 
собран: хорошо, качественно: положительно 
машинка: резвая: положительно 
машинка: удобная в эвсплуотации: положительно"
118,"Могу сказать, что меня этот автомобиль нисколько не впечатлил. Когда я выбирал в автосалоне ""Киа Моторс"", и у меня почти не было денег, поэтому я брал в кредит, и когда я залез в Спектру, то мне она настолько не понравилась, что я сразу из нее вылез. В результате купил Киа Каренс 2008 года. Так вот, мне в нем не понравился салон, он был слишком ""бюджетным"". Обычно аспект делают на что то одно, то есть либо на салон, либо на кузов, либо на ""начинку"" то есть на то, что под капотом. Здесь же, кузов не такой уж и красивый, он строгий, и даже чем то напоминает Chevrolet Lanos, нынешний Zaz Chance. Что касается ""начинки"", здесь тоже похвастаться особо не чем. И салон сделан как то не удобно. Мой друг купил этот автомобиль, и я с ним очень часто ездил. Поэтому мой отзыв об этом автомобиле больше отрицательный, чем положительный. ","
Автомобиль: не понравился: негативно 
салон: бюджетный: негативно 
кузов: строгий: негативно 
начинка: не чем похвастаться: негативно
салон: сделан не удобно: негативно "
119,"Хорошая машина не смогла заехать в горку, пришлось выйти и закатить ее самому, с горки едет хорошо а по прямой кое-как причем двигатель орет и попукивает очень громко, досталась машина бесплатно но все-равно пожалел что приобрел, поездил пару дней и уехал в пункт приема черных металов и был счаслив что избавился от этой чудо-машины. Ну если сравнивать с современным автодромом то лутше ходить пешком а не ездить на запоре советского производства ","
машина: не смогла заехать в горку, по прямой кое-как: негативно 
машина: с горки едет хорошо: положительно
двигатель: орет, попукивает очень громко: негативно"
121,"Всем доброго времени суток. Приобрел первый автомобиль-ВАЗ 2106 шестерка. Отличная машина для тех, кто хочет заняться тюнингом, поближе познакомиться с двигателем. Проста в эксплуатации и в ремонте, да и ходовые качества не разочаровали. ","
эксплуатация: простая: положительно 
ремонт: простой: положительно 
ходовые качества: не разочаровали: положительно"
122,"Приобрела я себе Хонду 2007 года и очень в целом довольна, экономичная (самый минимальный расход на трассе был 4,8 - очень была удивлена), красивая, стильная, динамичная, неприхотливая. К сожалению были минусы, которые меня расстроили, очень низкая-практически все кочки собрала, сразу практически пришлось менять рулевую тягу и рейку- у Хонды она очень слабая и дребезжит, говорят это их болезнь. Из-за того что низкая подвеска, постоянно отрываются брызговики. Со временем засоряются контакты на моторчике стеклоочистителей, попадает туда грязь и стеклоочистители живут своею жизнью, решение проблемы - разбор всей системы со снятием моторчика и чисткой. Больше нареканий у меня к ней нет. ","
Хонда: экономичная: положительно 
Хонда: красивая: положительно 
Хонда: стильная: положительно 
Хонда: динамичная: положительно 
Хонда: неприхотливая: положительно 
подвеска: низкая: негативно 
рулевая тяга: слабая, дребезжит: негативно 
рейка: слабая, дребезжит: негативно 
брызговики: отрываются: негативно 
стеклоочистители: засоряются: негативно"
124,"Отличная машина за свои деньги. В таком ценовом диапазоне найти семиместную машину довольно-таки трудно. Цена начинается от 1.8 млн рублей, для такой машины довольно-таки выгодно. Двигатель Т5 с 210 ""лошадями"" тянет довольно-таки бодро столь тяжелую машину, на высоких оборотах звук приятный, низкий бас, который едва слышно из салона, ведь у машины отличная звукоизоляция. На втором ряду просторно, но не настолько, насколько хотелось бы, зато на третьем поместятся даже два взрослых человека. Багажник с акссессуарами (сеточки, полочки и разные приятные вещи) очень практичный, двойная дверь радует. Так же неплохо работает автомат : рывков нет, довольно-таки расторопен. В общем, хорошая машина за свои деньги.","
машина: отличная за свои деньги: положительно 
цена: выгодная: положительно 
двигатель: тянет довольно-таки бодро: положительно 
звук: приятный, низкий бас: положительно 
второй ряд: просторный: положительно 
звукоизоляция: отличная: положительно 
багажник: практичный: положительно 
автомат: рывков нет, расторопен: положительно"
125,"Отличный автомобиль, средний расход по бензину, хотя даже чуть ниже среднего, быстро разгоняется, отличные ходовые качества, хорошо держит на поворотах, на скорости, стеклоподъемники, обогрев сидений передних, кондиционер, музыка с руля управляется, подушки безопасности, все есть в общем, обслуживание не из дешевых, езжу 5 лет, опель - моя вторая машина и менять не хочу, в новом кузове не очень нравится, но придется менять))) когда-нибудь. Очень удобно парковаться, какая-то она компактная ))). Считаю, что это больше автомобиль для женщин. Кто сомневается покупать ли этот автомобиль-не сомневайтесь, покупайте, не пожалеете! ","
расход по бензину: средний: положительно 
ходовые качества: отличные: положительно 
стеклоподъемники: есть: положительно 
кондиционер: есть: положительно 
подушки безопасности: есть: положительно 
обслуживание: не из дешевых: негативно 
удобно парковаться: очень удобно: положительно 
компактная: какая-то она компактная: положительно"
126,"Владел галантом 2002 года выпуска USA сборка 2,4 литра автомат, кондер. За три года на машине не появилось ни одного рыжика! Машинка очень мягкая, все кочки проглатывает как будто их нет! шумоизоляция на 4, удобство в салоне на 5, зимой не разу не застрял даже выезжая из сугроба автомат на зимнем режиме справился без проблем! Лучшее авто своего года! ","машина: очень мягкая, все кочки проглатывает: положительно 
шумоизоляция: на 4: положительно 
удобство в салоне: на 5: положительно 
зимой: не разу не застрял: положительно"
128,"Купила данный автомобиль. После покупки была сильно разочарована так как на тест драйве не давали выехать на трассу и как надо протестировать. Через 1000 км появился свист в левой двери в области зеркало. При обращению к дилеру причину выявить и устранить не смогли, сослались на заводской брак. На трассе при расхождении со встречным большегрузным автомобилем на скорости 90 км/ч машину кидало из стороны в сторону, сложно было удержать. При достаточно мощном двигателе не хватает коробки передач как на 5-ти так и на 6-ти ступеньчитой. Расход топлива как при городском цикле так и трассовом 1/1. Металл кузова очень тонкий, шумоизоляция плохая. ","
левая дверь: свист: негативно 
машина: кидало из стороны в сторону, сложно было удержать: негативно 
коробка передач: не хватает: негативно
металл кузова: очень тонкий: негативно
шумоизоляция : плохая: негативно"
129,"На первый взгляд неплохой автомобиль на самом деле оказался ужасным не знаю как остальные но мой был просто карытом. Ремень ГРМ рвался очень часто. Проходимость зимой просто отвратительная застревает на ровном месте. Ломается очень часто, никогда больше не куплю вазавский переднеприводны авто. Знаю многих кто намучился и неможет продат девятку, соседи даже ездить бояться чтоб не сломалась и цену не снижать, продать не могут. Единственное что нравилось - это манёвренность и нормальная скорость, на трассе 160 свободно идёт. Я вам не советую покупать подобный автомобиль лучьше возимите классику проверено и надёжно. ","
ремень ГРМ: рвался очень часто: негативно
проходимость зимой: отвратительная, застревает: негативно
манёвренность: нормальная: положительно
скорость: нормальная: положительно"
134,"Очень доступная по цене, качество отличное, руль легкий, мне как начинающему водителю это очень нравиться. Шумоизоляция отличная, огромный багажник спасает, когда выезжаем с маленьким ребенком на природу, коляска и пару сумок легко входят. ","
цена: доступная: положительно 
качество: отличное: положительно 
руль: легкий: положительно 
шумоизоляция: отличная: положительно 
багажник: огромный: положительно"
135,"Большой и вместительный автомобиль. Едет мягко и в тоже время не покачивает как на корабле. Места для задних пассажиров очень предостаточно и как показывает личный опыт, с весом 100 с лишним килограмм и ростом за 180 сантиметров прекрасно умещаемся. Едешь и разуешься, шум в салоне практически отсутствует, красота, можно говорить не напрягаясь, все хорошо слышно. Проехав не одну тысячу километров по бездорожью понимаешь полезность полного привода, ни разу не подвел. Кому не ездить по лесам и карьерам, можно попробовать и просто переднеприводный, но только по трассе, так как сам по себе автомобиль тяжелый. ","
Автомобиль: вместительный: положительно 
Автомобиль: мягко едет: положительно 
Автомобиль: не покачивается: положительно 
Места для пассажиров: предостаточно: положительно 
Шум в салоне: практически отсутствует: положительно 
Полный привод: ни разу не подвел: положительно"
138,"Имею опыт общения с рено дастер. На мой взгляд довольно таки сырой автомобиль. Убивает дешевый пластик, на ощупь просто дубовый. Салон из конца 90-х, могли бы придумать что нибудь новенькое и современное. Проходимость у полного привода в принципе неплохая. Цена конечно на дастер немного завышена на мой взгляд. У многих возникает проблема с плаванием оборотов на холостом ходу, что опять же говорит о сыромятине, исправляют на первом то.","
пластик: дешевый: негативно 
салон: из конца 90-х: негативно 
проходимость: неплохая: положительно 
цена: завышена: негативно 
обороты: плавают: негативно"
140,"Сразу бросается в глаза это его внешний вид, сделан неаккуратно, без какой либо старательности. Тем не менее завоевывает популярность у нашего народа. Автомобиль начал выпускаться около 2-3 лет назад. Стоимость довольно таки средняя. Расход топлива небольшой, примерно 8 литров. Что касается вместительности, то здесь все очень плохо, дизайн салона выполнен на любителя, не скажу что очень много места в салоне. Постоянно что то скрипит или ломается, огромное внимание уделяю коробке переключения передач и сцеплению, здесь все печально... Ну в некоторых характеристиках автомобиль может быть и не плохой.","
внешний вид: сделан неаккуратно: негативно 
стоимость: средняя: нейтрально
расход топлива: небольшой: положительно
вместительность: все очень плохо: негативно
дизайн салона: выполнен на любителя: негативно 
коробка переключения передач: печально: негативно 
сцепление: печально: негативно"
142,"Приобрела Автомобиль в августе 2013г., пришлась по душе и по нраву, есть один небольшой минус шумоизоляция нулевая, слышно работа двигателя, во всем остальном машина превосходна. Очень неплохая проходимость, много катаюсь за пределами Москвы, машина устраивает полностью.","
Автомобиль: по душе: положительно 
шумоизоляция: нулевая: негативно 
проходимость: очень неплохая: положительно"
143,"уникальная машина для автоспорта, сам сталкивался . Машина ц класса для любителей машин позлее, машина как волк в овечей шкуре, с виду простой седан для города, а по сути спортивная боевая машина, но в тоже время и салон приятный, и багажник не маленький. Авто для молодёжи, однозначно, как и вид агрессивный так и поведение, но так же есть и недостатки. Большой расход для ц класса, дорогая в обслуживании, и не большой ресурс расходников, могу сказать что машина для фанатов автоспорта. да и вообще для тек кто любит показать кто хозяин на дороге . Спокойно составит конкуренцию автомобилям гораздо дороже . Для меня лично это мечта. Как я говорил расходники часто надо менять, но коробка и двигатель надёжные очень ! Проехавшись на ней один раз другие машины не признаёш(если любитель боевой езды )","
салон: приятный: положительно 
багажник: не маленький: положительно 
авто: для молодёжи: положительно 
вид: агрессивный: нейтрально
расход: большой: негативно
обслуживание: дорогое: негативно
расходники: не большой ресурс: негативно 
коробка: надёжная: положительно 
двигатель: надёжный: положительно "
144,"Давайте начнём с мифа про экономичность - это совершенно не так - расход как у ц класса почти 7-8 литров, и это реально так, очень низкая надёжность . Дизайнеры по моему просто издевались когда рисовали эту машину. внутри очень мало места, по сравнению с одноклассниками, хоть авто и дешевле их но оно и в разы хуже, мои личные впечатления после поездки на этом - такое чувство что ты маленький и неполноценный человек, окружающие воспринемают тебя так же, и не упустят возможности подрезать, не говоря о том что пропустить где то . Вывод :автомобиль не стоит того чтобы его покупать и очень большой миф о его экономичности, это не так !!! ","
экономичность: миф: негативно 
расход: высокий: негативно 
надёжность: низкая: негативно 
дизайн: плохой: негативно 
простор: мало: негативно"
145,"Отличный автомобиль для любителей (а их много) настоящих японцев. Машина экономичная, красивая, престижная. Не дорого её обслуживать, дешевые детали. Хорошо слушается, особенно в мерзлую или дождливую погоду. У меня все машины фирмы тойота и ни разу не жаловался. Как праворульные так и леворульные, особенно если тех 90-тых годов. Советую брать. Более того, во всех тойотах отличный климат контроль.","
машина: экономичная, красивая, престижная: положительно 
обслуживать: не дорого: положительно 
детали: дешевые: положительно 
слушается: хорошо: положительно 
климат контроль: отличный: положительно"
146,"Шанс - это действительно шанс купить нашему человеку машину относительно нормального качества по доступной цене. Пользовались машиной два года. Главный плюс, естественно, цена! Скорость набирает неплохо, в салоне места достаточно, особенно на передних сидениях. Хорошо набирает скорость, устойчива на трассе, что помогает на резких поворотах. Металл зарубежный, качественный. Но есть и явные минусы. У машины жестковата подвеска, мужу не нравилось, что щиток поднят выше, чем нужно. В результате руль закрывает обзор верхней части приборов. Заводом в коробку скоростей заливается минеральное масло, запускать двигатель зимой потом сложно. Мы масло меняли на синтетку сразу. В целом, это хороший вариант для обычной российской семьи. ","
машина: нормального качества: положительно 
цена: доступная: положительно 
скорость: набирает хорошо: положительно 
салон: места достаточно: положительно 
подвеска: жестковата: негативно 
щиток: поднят выше, чем нужно: негативно 
коробка скоростей: заливается минеральное масло: негативно"
