,Text,Response
53,"Вчера отмечали юбилей, очередную годовщину нашей свадьбы. Выбирали ресторан по интернету. Остановились на этом ресторане и не пожалели ни на минуту. Заказали столик. Пришли, нас уже ждали. Очень приятное обслуживание, ненавязчивое, доброжелательное. Очень уютная обстановка, особенно в малом зале. Так получилось, что в зале мы были одни и это позволило нам чувствовать себя очень свободно и подробно рассмотреть обстановку. Живые цветы на столах, кальяны в нишах, тихое журчание родничка.... все это создавало романтическую атмосферу. Не буду повторяться с описанием блюд, их уже было достаточно в отзывах, хочу только сказать, что кухня на высоте!!! Очень приятно удивил в конце ужина подарок от ресторана, когда они узнали что у нас юбилей. Очень вкусный десерт, красиво оформленный, с пожеланиями на блюде! Вечер удался на славу! Мы остались очень довольны и обязательно посетим его еще, так как многое в меню мы не попробовали!!!","
Обслуживание: доброжелательное, ненавязчивое: положительно 
Обстановка: уютная, романтическая: положительно 
Блюда: вкусные, красиво оформленные: положительно"
54,"Первый раз посетили с друзьями этот уютный ресторанчик месяца два назад. Впечатляет все! Вкусное пиво(особенно ячменное :) и суджук к нему в виде закуски :), атмосфера, приветливый персонал! Миниатюрная девушка(по-моему, администратор ресторана)высокий профессионал своего дела: ненавязчивое обслуживание, дружелюбный подход к посетителям, внимательное отношение к клиентам. Такое приятное впечатление от уровня европейского сервиса редко получаешь в городе на Неве. Хотя подобных заведений и полно в городе, а посещать не один раз хочется только достойные места... Спасибо Вам большое!!!","уютный ресторанчик: впечатляет все: положительно 
пиво: вкусное: положительно 
суджук: вкусный: положительно 
атмосфера: приятная: положительно 
персонал: приветливый: положительно 
администратор ресторана: дружелюбный, внимательный: положительно"
55,"Приятное заведение. Действительно много места, как в самих залах, так и в холлах и гардеробе. Зашла часа в три в будний день – народу почти никого не было. Вокруг все тихо и спокойно. Администратор проводила к столику, тут же подошел официант предложил меню. Заказала грибной суп и овощи с рыбой, напоследок - кофе. По вкусу все понравилось, порции хорошие – наелась, ну и можно отметить оформление блюд. Цены средние. Надо будет еще как-нибудь в вечернее время на перфоманс попасть – не зря же здесь довольно таки большая сцена имеется!","заведение: приятное : положительно 
залы: много места: положительно
холлы: много места: положительно 
гардероб: много места: положительно 
администратор: проводила к столику: положительно 
официант: подошел, предложил меню: положительно 
грибной суп: понравился: положительно 
овощи с рыбой: понравились: положительно 
кофе: понравился: положительно 
порции: хорошие: положительно 
цены: средние: нейтрально"
57,"Был в ресторане пару недель назад с девушкой. Обстановка приличная,мне лично такая по вкусу,но телевизор 90-х годов стоящий в зале удивил меня,и картину дополняет неработающий фонтан в центре зала.А фоновой музыкой было радио. Заказ приняли быстро...и все,на этом сервис закончился. Пришлось ждать чай больше 20 минут, принесли салат. Что готовят плохо сказать не могу,съедобно. Рис также ждали вместе с чаем больше 20 мин.,но я то думаю,китайский ресторан,как на востоке оформляют блюда мы все хорошо знаем,всегда все украшено и выглядит очень аппетитно,так вот,нам рис принесли на тарелке в таком виде,что я даже есть не стал его. Как будто с пола поднятый рис был,огромные комки. В общем после этого оплатили счет и ушли... Работала,то одна,то другая официантка,и каждая думала что нас уже обслужили и принесли заказ. Я бы понял это если бы был аншлаг,так вместе с нами во всем ресторане 3-5 столиков было занято.","
Обстановка: приличная: положительно 
телевизор: 90-х годов: нейтрально 
фонтан: неработающий: негативно 
заказ: приняли быстро: положительно 
обслуживание: одна, другая официантка: негативно"
59,"Отличный паб!!!!!! Я решила устроить мужу сюрприз, и он удался! Отличный интерьер! Очень вкусное пиво и большой его выбор, кухня тоже отличная, все заказанные блюда, были очень вкусны, а основное, почему я выбрала этот паб, потому что в тот день играла живая музыка, и мы были приятно удивлены, отличный получился концертик! Отличная атмосфера заведения, обязательно будем посещать его ещё!!!","
паб: отличный: положительно 
интерьер: отличный: положительно 
пиво: вкусное, большой выбор: положительно 
кухня: отличная: положительно 
живая музыка: отличный концертик: положительно 
атмосфера заведения: отличная: положительно"
61,"Были с мужем в выходные. Очень много народу, но столиком проблем не было - заказывали заранее. А вот заказ приносили достаточно долго - но на улице с пивом никуда не спешишь :) Гриль нам понравился, пиво тоже. Маленький выбор вина, нет классичсеских сортов пива. Это минусы. Но в общем, впечатление хорошее. От сервиса, от кухни и от атмосферы. Вокруг люди улыбчивые, всем весело, музыка приятная. Мы еще вернемся!","столик: проблем не было: положительно
заказ: приносили достаточно долго: негативно 
гриль: понравился: положительно
пиво: понравилось: положительно
выбор вина: маленький: негативно 
кухня: понравилась: положительно 
сервис: хорошее впечатление: положительно
кухня: хорошее впечатление: положительно
атмосфера: хорошее впечатление: положительно
музыка: приятная: положительно"
62,"Всем доброго дня! Зашел посмотреть телефон заведения, чтобы заказать столик, но решил написать и отзыв ))) Ходим сюда часто, и с друзьями, и с семьёй. Здесь даже отмечал мой друг день рождения, было весело и вкусно. Последний раз посещали ресторан в субботу 26 числа. Пришли с другом и с женами часов в 5 вечера, народу было на удивление немного. Мы, мужчины, пили пиво, наши женщины пили красное вино, довольно неплохое. Ели роллы (традиционную филадельфию и острые запеченные), друзья брали супы, сказали, что вкусные. На горячее я брал перечный стейк (люблю его очень). Не всегда угадывают с прожаркой, но в этот раз был идеальный. Посидели недолго, т.к. торопились в кино. Надеюсь, в эти выходные посидим подольше и дождемся живой музыки. В целом очень достойное место, особенно за такие деньги.","
красное вино: довольно неплохое: положительно 
роллы: вкусные: положительно 
супы: вкусные: положительно 
перечный стейк: идеальный: положительно
место: очень достойное: положительно"
63,"Я была здесь с подругой пока один раз. Пришли вечером, чтобы послушать живую музыку, отдохнуть и пообщаться. Заказали столик заранее. Остались всем довольны. На первом этаже кафешка, а на втором этаже 3 зала. На счет еды не могу сказать точно…За один раз оценить всё невозможно, но то, что заказали, соответствовало своим вкусовым качествам и моему вкусу(заказали роллы Филадельфия, греческий салат и пиво). Меню разнообразное, цены адекватные. Понравился интерьер. Столики есть на любой вкус и с диванами и у окна и напротив сцены. Очень хорошая музыка, в тот вечер выступали Egeiro Project (отдельное им спасибо). P.S. Уютное место для вечернего отдыха. Обязательно придём ещё. />","
Меню: разнообразное: положительно 
цены: адекватные: положительно 
интерьер: понравился: положительно 
музыка: очень хорошая: положительно"
66,"Всем хорошего дня! 9 августа у нас с мужем был 10ти летний юбилей свадьбы. Прошло все настолько супер,что даже и представить не могли,что так получится. Обстановка очень уютная.Есть возможность выбрать цвет интерьера. У нас была розовая свадьба и нам оформили зал в бело-розовых тонах. Очень красиво!!! Было 40 чел и все остались в восторге от вкуснейшей еды.Не навязчивое обслуживание официантов,всё успевали,своевременно убирали со столов и приносили новые блюда и напитки. Достаточно важно: для такой жары,как сейчас стоит у нас в городе замечательная система кондиционирования в зале. Было очень комфортно! После окончания банкета,официанты и администратор старательно упаковали всё в свои ланч-боксы. Нам очень понравился этот банкетый зал! Если хотите хорошо отметить свой праздник, то вам сюда!=))) СПАСИБО ОГРОМНОЕ !!!!!!!!!!","
банкетный зал: уютный, красивый: положительно 
еда: вкусная: положительно 
обслуживание: не навязчивое, своевременное: положительно 
система кондиционирования: замечательная: положительно"
67,"Недавно посетила данный ресторан,я согласна со многими,что основной зал тесноват,но понравилась,что есть детская комната,гда с ребенком сидела няня пока мы ужинали,плюс то что для детей есть бесплатное детское меню. Да музыка играла громко,но при этом понравилось,что это национальная и живая музыка. Обслуживал очень приятный молодой человек,постоянно улыбающийся и посоветовавший нам хорошие блюда. Кухня действительно похожа на греческую(в Греции бываю почти каждое лето). Вкусный шашлык и прекрасный выбор салатов, довольно большой выбор алкоголя. Плюс цена довольна не высокая для центра города. Так что думаю еще не раз семьей сходим.","
основной зал: тесноват: негативно
детская комната: понравилась: положительно
музыка: играла громко: нейтрально
музыка: национальная, живая: положительно
шашлык: вкусный: положительно
выбор салатов: прекрасный: положительно
выбор алкоголя: довольно большой: положительно
цена: не высокая: положительно
"
68,"Впечатление заведение оставило не самые лучшие!!а жаль.....новое место в центре города!!Во-первых гостей никто не встречает и не провожает к столу,не говоря уже о том,что зал для курящих или не курящих предложен вообще не был!!Подруга заказала бизнес-ланч,а меню я так и не увидела,так как его просто не принесли!!!Заказ был принят ужасно,вслед уходящему официанту мы договаривали свой заказ!!!я заказала чай,но даже его принесли без жасмина!!)))хлеб не был предложен,в принципе вообще ничего предложено не было!!!с таким обслуживанием у заведения вряд ли появятся постоянные гости!!дальше..хуже...счёт нам вынесли,когда мы еще кушали,и даже не просили его,видно в этом заведении не любят ,когда гости задерживаются,сложилось впечатление,что нам определённо пора!!!=))) Интерьер милый,есть диванчики,правда не очень мягкие!!","зал для курящих или не курящих: предложен вообще не был: негативно
заказ: принят ужасно: негативно 
чай: принесли без жасмина: негативно 
интерьер: милый: положительно
диванчики: не очень мягкие: негативно"
70,"Недавно отмечали в Санам день рождения. Безумно понравилось. Гости в восторге. Прекрасный интерьер, хорошее обслуживание, быстро, ненавязчиво. Кухня понравилась. Есть и восточные блюда, и европейские, и японские. Так как в нашей компании у всех разные вкусы это очень порадовало, каждый нашел для себя подходящее блюдо. Большие порции, все очень вкусно. Очень понравился кальян. Так же большой выбор коктейлей, некоторые очень неплохие. Особенно понравились оргазм и клубничная маргарита. В целом все остались довольны, все советую!","
интерьер: прекрасный: положительно
обслуживание: хорошее, быстро, ненавязчиво: положительно
кухня: понравилось: положительно
порции: большие, вкусно: положительно
кальян: очень понравился: положительно
выбор коктейлей: большой: положительно"
71,"Праздновала в этом ресторане свой Др, праздник был семейный, поэтому хотелось посидеть в уютном месте с хорошей кухней. Был заказан столик( за 4 дня) на 2 этаже, по приходу нам сообщили что через 3 часа придут уже новые гости у которых тоже забронирован это стол. Это как-то омрачило первое впечатление о этом заведении. В меня есть всё, практически все кухни мира. Начну с салатов: ужаснее салата цезарь и придумать нельзя, соус невкусный, курица сухая.Пробовала ещё салат с авокадо, тот получше, но тоже так себе. Из горячего ела манты, наверное они были покупными, либо их там вообще не умеют готовить. Единственное что понравилось гостям это десерты. Пирожные очень вкусные, особенно торт из шоколада.Ушли из этого ресторана голодные и недовольные. За 5 оставили 10 тысяч( еда+ каждый заказал по 1-2 алкогольному коктейлю)","
кухня: хорошая: положительно 
столик: заказан: положительно 
салат цезарь: ужасный, соус невкусный, курица сухая: негативно 
салат с авокадо: получше, но тоже так себе: нейтрально 
манты: покупные, их там вообще не умеют готовить: негативно 
пирожные: очень вкусные: положительно 
торт из шоколада: вкусный: положительно"
72,"Ходили с молодым человеком в пятницу, 25 ноября. Кухня отличная, интерьер вообще выше всяких похвал, места довольно много. Я заказывала салат цезарь, ролл Радуга и чизкейк. Салат вкусный, единственное, не понравился соус, какой-то он странный был. Ролл Радуга - лучше бы не брала, роллы огромные, в рот не влезают. На вкус нормальные. Чизкейк вкусный, но слишком уж много этого клубничного пюре на тарелке. Молодой человек брал рис с курицей (очень очень вкусный, и цена всего 200 руб), мисо суп (не очень, одна вода, безвкусный) и тирамису, который ему очень понравился. Единственное, долго ждали, пока нам принесут меню, что очень странно (обычно меню несут быстро). Потом обслуживали быстро. Официант не очень улыбчивый, но вежливый. В общем и целом нам понравилось, придем еще.","
кухня: отличная: положительно 
интерьер: выше всяких похвал: положительно 
места: довольно много: положительно 
салат цезарь: вкусный, соус странный: нейтрально 
ролл Радуга: огромные, но нормальные: нейтрально 
чизкейк: вкусный, но слишком много пюре: нейтрально 
рис с курицей: очень вкусный: положительно 
мисо суп: не очень, безвкусный: негативно 
тирамису: понравился: положительно 
время ожидания: долго ждали меню: негативно 
официант: не очень улыбчивый, вежливый: нейтрально"
74,"Сегодня с подругой посетил данное заведение! очень всё понравилось,обслуживание порадовало еще при входе,доброжелательная и улыбчивая администратор Екатерина встретила нас и посадила за очень хороший столик,откуда открывался отличный вид. Обслуживала нас очень приятная девушка-официант.Заказывали фондю,обслуживали нас очень оперативно и что порадовало это не сказалось на качестве блюда. Официант и весь обслуживающий персонал,отлично знает своё дело. Молодцы. Теперь ""Чердак Художника"" будет часто посещаемым местом в нашем городе. Спасибо вам большое за хорошее настроение на весь день!!!!","обслуживание: порадовало: положительно 
администратор: доброжелательная, улыбчивая: положительно 
официант: приятная: положительно 
обслужили: оперативно, не сказалось на качестве блюда: положительно"
75,"В пятницу 8 числа с друзьями проходили мимо ресторана у видели большую вывеску и решили зайти посмотреть открытие олимпиады. Были приятно удивлены простатой интерьера, качеством кухни(спасибо огромное шеф повару),огромный выбор закусок к пиву. Особенно понравились ""перчики халапена"" (кажется так называлось это бесподобное блюдо),умеренные цены, большие порции. Немного ресторанов в городе, где можно так вкусно итак не дорого покушать!!!! Приятно удивил обслуживающий персонал. Девушка, которая нас обслуживала, с редким именем Антонина, хорошо разбирается в предсталенной рестораном еде и умело порекомендовала нам разные закуски. А какое пиво!!! Их около 10 сортов на любой вкус. бармен стал нам просто другом. На любой вопрос о пиве он умело подобрал каждому из нас пиво по вкусу. Всё было замечательно в этом пивном баре!!!! Всем Гроссенштрассе!!!!!!!!!!!!!!!!!","
выбор закусок к пиву: огромный: положительно 
цены: умеренные: положительно 
порции: большие: положительно 
обслуживающий персонал: приятно удивил: положительно 
пиво: около 10 сортов: положительно
бармен: стал нам просто другом: положительно"
76,"Приятный итальянский ресторанчик без претензий. Из минусов по обслуживанию только то, что долго ждали официанта с меню. Интерьер простой как внутри, так и снаружи. Из блюд заказывали томатный суп, ризотто с белыми грибами, пасту с креветками и Цезарь. Порции достаточно большие; все было вкусно, а вот Цезарь с курицей очень расстроил, соус был невкусный с рыбным запахом. Хорошее место для вкусной трапезы итальянской кухни по умеренной цене.","
Обслуживание: долго ждали официанта с меню: негативно 
интерьер: простой: нейтрально 
блюда: вкусно, порции достаточно большие: положительно 
Цезарь с курицей: очень расстроил: негативно 
соус: был невкусный, с рыбным запахом: негативно 
цена: умеренная: положительно"
77,"Сегодня отмечали день рождения небольшой компанией из шести человек. Нас разместили в VIP зале. Понравилось оформление стола, подсвечник с горящими свечами создал уютную атмосферу семейного торжества. Обслуживание прекрасное: тарелки убирали сразу, новые блюда приносили быстро, так что ничего не надо было ждать. Кухня тоже приятно удивила, особенно размер порций. Все было свежим и отменно вкусным. Единственное ""но""- это отсутствие живой музыки, с ней наш вечер был бы еще приятнее.иЗа сравнительно небольшие деньги отлично отдохнули и поели. Следующий раз не буду думать, куда пойти отмечать какое-нибудь торжество.","
оформление стола: понравилось: положительно 
обслуживание: прекрасное: положительно 
кухня: приятно удивила: положительно 
живая музыка: отсутствует: негативно"
79,"Встретились с подругами пообщаться, выпить пива. Столик заказали заранее, нас встретили, проводили, принесли меню всё оперативно. Заведение небольшое, очень камерное, что приятно. Интерьер обычный, как в других пабах, порадовали стеллажи с книгами и мягкие диваны.:) Пиво вкусное, есть из чего выбрать. Заказали: отварные креветки - креветки, как креветки, но какие-то слишком маленькие (240 руб.), салат ""Салмон"" с лососем, неплохой, но пресноват, соуса явно не хватает, кольца кальмара в кляре - под пиво нормально, мясные чипсы из говядины - вкусно, Рагу - вкусно, но больше напоминало бульон с мясом, королевские креветки с соусом - очень вкусное блюдо(599 руб.), к сожалению не все цены помню. Была одна официантка на весь зал (пятница вечер все столики заняты), но справлялась, напитки и блюда долго ждать не приходилось, не хватало немного приветливости, а в общем неплохо. Наш счёт на 5 человек составил около 4 000 руб. Подведя итог можно сказать, что хорошо провели время, милое заведение.","
меню: принесли оперативно: положительно
заведение: небольшое, камерное: положительно
интерьер: обычный, как в других пабах: нейтрально
диваны: мягкие: положительно
Пиво: вкусное: положительно 
Рагу: вкусно, напоминало бульон с мясом: нейтрально 
королевские креветки с соусом: очень вкусное блюдо: положительно 
Салат ""Салмон"" с лососем: неплохой: нейтрально
Салат ""Салмон"" с лососем: пресноват, соуса явно не хватает: негативно"
80,"В Дугласе оказались случайно, друзья отмечали день рождения. Первое впечатление – потрясающий размахом и продуманностью интерьер. Сначала сидели всей компанией в кабинке на диване, чувствовали себя комфортно и приватно. В конце вечера расслабленно перебрались за барную стойку. Удивило гармоничное сочетание в одном заведении ресторана и бара. Что касается кухни, заказывали и европейские и японские блюда, остались очень довольны. Все вкусно, порции средних размеров – не много, не мало. Меню не очень большое, но есть из чего выбрать. Действительно широкий выбор алкоголя, от коктейлей больших и маленьких, до линейки пива и виски. Словом, есть что выпить и поесть и девочкам, и мальчикам. Напитки приносили сразу, блюда ждать приходилось не долго, хотя, может, мы просто никуда не спешили :) Резюме: вечер удался во всех отношениях, а мы открыли для себя новое заведение. Единственный минус – не очень удобное месторасположение. Но для нас это не препятствие! :)","
первое впечатление: потрясающий размахом и продуманностью интерьер: положительно 
кухня: вкусно, порции средних размеров: положительно 
меню: не очень большое, но есть из чего выбрать: нейтрально 
алкоголь: широкий выбор: положительно 
напитки: приносили сразу: положительно 
блюда: ждать приходилось не долго: положительно 
месторасположение: не очень удобное: негативно"
81,"03.09.2014 отмечали в ресторане ""Любимый"" день рождения любимого. Праздничный ужин проходил на 3 этаже. Интерьер ресторана очень интересный. Обслуживающий персонал , конечно, испортил весь праздничный вечер лично для нас и наших друзей. Во-первых, вовремя обслуживания, официант Анастасия уронила грязные приборы на гостя. Во- вторых, постоянно забирала посуду в которой еще находилась еда, а пустую посуду оставляла на столе. В конце вечера заказав воду принесла ее через 20 минут, при этом сказав, что она все это время кушала, ей было не когда. Мужчины заказали себе бутылочку Текилы, лимон и соль. Все приносилось отдельно , с разницей во времени 10 минут. Что очень сильно удивило. Я бы не рекомендовала идти в данный ресторан. Есть в Петербурге рестораны на много лучше и доступны по цене и качеству обслуживания.","
интерьер: очень интересный: положительно
обслуживающий персонал: испортил весь праздничный вечер: негативнопосто
официант Анастасия: уронила грязные приборы: негативно "
82,"Я как-то увидела, что на месте не безызвестного магазина открылся новый ресторан. Вид через окно с Невского меня заставил туда заглянуть. И интерьер меня не разочаровал,а, наоборот, очень обрадовал. Очень красивое и уютное место. Обслуживающий персонал очень приятный. Нашему официанту пришлось много нам объяснять, так как с азиатской такой кухней я не знакома была. Но он много предлагал, описывал, помог выбрать. Я и моя подруга были очень довольны этим выбором. Я взяла кокосовый суп с морепродуктами. Он был острый, но, как я поняла, это особенность кухни. Но то люблю острое и была в восторге от блюда. Подруга заказала салат с апельсинами, рукколой и лососем, а на десерт мы брали манговый мусс и лимонный десерт. Нам все очень понравилось. Было безумно вкусно!!!!Советую всем обязательно посетить это заведение!!!!","
интерьер: не разочаровал, очень обрадовал: положительно
обслуживающий персонал: очень приятный: положительно"
83,"31 июля отмечали нашу свадьбу в ресторане Анданте. К выбору ресторана подошли основательно, было много разных предложений, но лучше данного ресторана ничего не нашли. Все прекрасно начиная от первого звонка в ресторан и общения с администратором и заканчивая нашим сбором после банкета. Всегда приветливый обслуживающий персонал в любое время, при личном общении и по телефону. В ресторане несколько вариантов меню, на любой кошелек, в каждом из меню, большой выбор всего, закусок горячих и холодных, горячего, напитки. Мои гости, да в прочем как и мы молодые остались в полном восторге!!!) Кухня супер, атмосфера восхитительная, интерьер лучший, великолепный вид из ресторана! Рекомендую всем! Спасибо администрации!","
персонал: приветливый: положительно 
кухня: супер: положительно 
атмосфера: восхитительная: положительно 
интерьер: лучший, великолепный: положительно 
вид: великолепный: положительно"
85,"Ходим в этот ресторанчик не так часто, только когда бываем в этом районе. Всё, что пробовали очень вкусно! Из моего любимого - салат с куриной печенью, запеченные суши и тирамису. Ни разу не пришлось усомниться в качестве и свежести блюд:) Интерьер симпатичный, но не производит впечатление стильного.. Главное, что очень уютно! Обслуживание ..разное, так скажем.. Порой долго ждешь, иногда неудобно - приносят всё сразу.. Но это редко! В целом вежливое, но не навязчивое обслуживание, следят за посудой, пепельницами.. нормально:) Ресторану огромное спасибо в первую очередь за ХОРОШУЮ кухню, но при этом демократичные цены:)","
кухня: вкусная: положительно 
блюда: свежие: положительно 
интерьер: симпатичный, не стильный: нейтрально 
обслуживание: вежливое, не навязчивое: положительно 
цены: демократичные: положительно"
86,"Ходила туда вчера. Интерьер необычный, привлекает. А в самом кафе было очень холодно, хотя у них есть конди, они их включили на тепло, только когда мы уже настойчиво попросили, но и это не спасло, руки оледенели просто! Из кухни заказывали пиццу, так..... ничего особенного, поесть можно, допинга не было, добавить было нечего =( Хотела еще десерт заказать, так фруктов у них тоже не оказалось(((( Заказали чай, по вкусу был на самый дешевый похож. Официант все время куда-то пропадал, хотя народу вообще не было. Еще что не понравилось, так это то, что повара прямо через все кафе ходят, туда-сюда. В общем - я не в восторге от этого заведения, туда больше не пойду.","
интерьер: необычный, привлекает: положительно 
в самом кафе: было холодно: негативно 
пицца: ничего особенного: нейтрально 
десерт: не было фруктов: негативно 
чай: по вкусу был на самый дешевый похож: негативно 
официант: все время куда-то пропадал: негативно 
повара: прямо через все кафе ходят, туда-сюда: негативно"
88,"Очень хочется поделится своим мнением! Мы с друзьями остались очень довольны посещением этого заведения, народу не много...уютные,мягкие диванчики) Очень приветливый персонал,все девушки в один голос здороваются как только заходишь) и улыбаются))очень приятно .. Заказанные блюда принесли очень даже быстро...или это время так быстро пролетело,за счет уютной атмосферы..заказывали стейк из говядины,шашлычки из грибов,солянку,цезарь из курицы,овощи на гриле, все очень понравилось...ОООЧЕНЬ!) спасибо повару! цена и качество соответствуют.. солянка 200 руб, цезарь 250 ,стейк 550, не очень завышены цены,надеемся и дальше такими же будут!)) планируем там провести банкет... на Петроградской один из лучших ресторанов.....советуем всем)","
персонал: приветливый: положительно 
блюда: принесли быстро: положительно 
стейк: понравился: положительно 
цены: нормальные: нейтрально"
89,"Почитал отзывы на этом сайте и решил посетить заведение. Действительно, все оказалось ""на уровне"". Понравился красивый интерьер и вежливое, довольно быстрое обслуживание. Но самое главное - все было ОЧЕНЬ вкусно. Давно не был в заведении, к которому у меня не возникло почти никаких претензий. Посидели с друзьями просто замечательно и все ушли в хорошем настроении. Обязательно зайду туда еще.","
Интерьер: красивый: положительно 
обслуживание: вежливое, быстрое: положительно 
вкус: ОЧЕНЬ вкусно: положительно"
90,"Мы пришли с мужем в ""Небо"" приблизительно в 19:00 9 февраля. На входе нас встретил неприятный молодой человек-администратор. Честно говоря была немного удивлена... Не первый раз приходим в этот ресторан и все время такие красивые девушки встречают, а тут.(!) Ну да ладно идем дальше. В это время суток в ресторане не было много народа. И перед нами был огромный выбор мест. Нам предложили присесть на мягких и удобных диванчиках. Конечно не у окна, но вид все же как всегда был прекрасен. Буквально через 5 минут к нам подошел любезный официант и принял наш заказ. Приблизительно через 15 минут мы уже наслаждались теплым мексиканским салатом и карпаччо из утиной грудки. Холодные закуска и салат были великолепны! Горячее тоже очень порадовало. Официант был всегда внимателен и любезен. Появлялся всегда в тот момент, в который нужно. Не надоедал, ну и не оставлял нас совсем одних. В общем все было прекрасно! Нам очень понравилось.. Будем приходить еще и еще много раз.=)","
Администратор: неприятный: негативно 
закуска: великолепна: положительно 
салат: великолепен: положительно 
горячее: очень порадовало: положительно 
официант: внимательный, любезный: положительно "
93,"Ну вот посетила Чаплин-холл, поделюсь впечатлениями. Заведение хорошее, сказать, что это ресторан было бы не совсем корректно, это даже скорее концертный зал с возможностью заказать еду и напитки. Зал очень просторный и атмосферный, свободного места предостаточно. Удобные столики на небольшую компанию друзей-знакомых. Меню достаточно разнообразное, есть отдельное меню японской кухни, ну это на любителя. Я, например, больше предпочитаю традиционную кухню. Есть смешанные блюда, вот например, так любимая русским человеком сельдь под шубой…с крабом. Ее не пробовала, просто название зацепило. Попробовала палтуса запеченного – хорош, да и красиво смотрится на тарелке. Правда, эта самая тарелка уж как-то намного больше самого палтуса. Видимо так принято) Салат грибной тоже хорош, порция достойная. Кофе-десерт – тоже без претензий, все вкусно. Итого приятный вечер, в хорошей компании в хорошем месте. Мне понравилось!","
заведение: хорошее: положительно 
зал: очень просторный, атмосферный: положительно  
столики: удобные: положительно 
меню: достаточно разнообразное: положительно 
палтус запеченный: хорош, красиво смотрится: положительно 
салат грибной: хорош: положительно 
кофе-десерт: вкусно: положительно"
94,"Место очень интересное. Просто сходить стоит. Но... Обслуживание просто кошмар. В последней советской столовой обслуживают лучше. Мы пришли не сильно голодными, заказали пару блюд и чай. На что официант нам сказал, что заказ должен быть на 1500р. и если нет, то он даже открывать столик не будет. Потом он высказал, что вообще у них клиенты по 25 000 оставляют, и вообще... Честно говоря, очень неприятное ощущение. Мы конечно, заказали коктейли еще, но честно говоря, при всей крутизне антуража больше туда идти не хочется. И дело не в деньгах, а в отношении. Уж если так все жестко - то предупредили бы о депозите, все равно ведь по телефону бронировать... И пару слов о кухне. Еда, довольно вкусная, но очень маленькие порции (как вообще у нас в России в ресторанах почему-то).","
место: интересное: положительно 
обслуживание: кошмар: негативно 
кухня: вкусная: положительно 
кухня: маленькие порции: нейтрально"
95,"Зашли в кафе с подругой по рекомендации родителей, они были недавно им очень понравилось! Нам тоже!! Очень понравился интерьер, мы сидели в первом зале, занавесочки просто супер, и еще была парочка картин, которые жутко хотелось бы иметь у себя дома) По еде тоже весьма неплохо, готовят достаточно быстро, брала судака с овощами и рисом, очень вкусно было и потрясающий кофе Борджиа, раньше его не пробовала!! Подруга брала один из восточных салатов, к сожалению не смогу воспроизвести точно название, но тоже осталась довольна! Американо ее также не разочаровал! Единственное мы были в пятницу вечером и сервис несколько тормознут, девушка и молодой человек, которые там были, больше занимались своими делами! Больше в к этому месту нареканий в принципе не возникло) Общий вывод: уютное местечко в центре, с разумными ценами и весьма комфортной обстановкой)","
Интерьер: понравился: положительно 
еда: вкусно, быстро готовят: положительно 
кофе: потрясающий: положительно 
сервис: тормознут: негативно"
96,"Первый раз зашла случайно, хотелось кофе попить...Сразу было очарована обслуживающим персоналом: встречают так, как будто ждали именно тебя и очень рады визиту. Кофе вкусное, тортики отменные. Потом несколько раз заходили с друзьями, посидеть, выпить пивка. Выбор пива небольшой, но это нормально все-таки это больше кондитерская...Хотя все нашли себе напиток по вкусу, есть и Тиммерманс и Невское. Очень понравились закусочки: и жаренные крылышки, и особенно кальмары. Их подают еще и с колечками лука. Правда без соуса, в меню мы соуса тоже не обнаружили, но приветливая девушка-официантка на наш вопрос о соусе, предложила 2 вида и сразу же принесла. Интерьер неплохой, жалко только, что диванчики и плазменная панель только в зале для некурящих. Обслуживание на 10, все вовремя, мило и с улыбкой. Отлично, что появилось такое приятное местечко в нашем районе.","
обслуживание: на 10, все вовремя, мило и с улыбкой: положительно 
интерьер: неплохой: положительно 
кофе: вкусное: положительно 
тортики: отменные: положительно 
закусочки: понравились: положительно"
97,"Были в этом ресторане компанией. Интерьер понравился, ресторан пока новый. А вот кухня простецкая, как в обычной забегаловке, и вообще не соответствует интерьеру. Подача блюд тоже не впечатляет, ни каких изысков, морковка наструганная-единственное яркое пятно на тарелке)))) обслуживание тоже оставляет желать лучшего, заказ такой как чай например, ждали минут 15((( вазу для цветов ждали весь вечер, проведенный в ресторане. Цены на напитки убили на повал, чай за 400 руб это жесть. Средняя цена на неалкогольный напиток 250-300 руб, не знаю как для других жителей нашего района, для меня это дорого. Ради интерьера точно больше не пойду, ведь в ресторан идешь получить удовольствие от еды, на то такие заведения и нужны. Блюда компания брала разные:супы, шашлыки, хачапури, десерты-и все как один остались недовольными. А счет принесли нам внушительный, как в хорошем дорогом ресторане.","
интерьер: понравился: положительно 
кухня: простецкая: негативно 
подача блюд: не впечатляет: негативно
обслуживание: оставляет желать лучшего: негативно
цены: убили на повал: негативно"
